board_id,user_id,role,status,created_at,updated_at
9,8,MEMBER,ACTIVE,2025-05-09T09:41:26.420508,2025-05-09T09:41:26.420515
10,2,MEMBER,ACTIVE,2025-05-09T09:41:26.420520,2025-05-09T09:41:26.420523
5,3,MEMBER,ACTIVE,2025-05-09T09:41:26.420529,2025-05-09T09:41:26.420532
5,2,MEMBER,ACTIVE,2025-05-09T09:41:26.420537,2025-05-09T09:41:26.420540
2,6,MEMBER,ACTIVE,2025-05-09T09:41:26.420546,2025-05-09T09:41:26.420549
10,8,MEMBER,ACTIVE,2025-05-09T09:41:26.420554,2025-05-09T09:41:26.420561
9,4,MEMBER,ACTIVE,2025-05-09T09:41:26.420568,2025-05-09T09:41:26.420571
3,3,MEMBER,ACTIVE,2025-05-09T09:41:26.420579,2025-05-09T09:41:26.420583
3,7,MEMBER,ACTIVE,2025-05-09T09:41:26.420589,2025-05-09T09:41:26.420592
10,5,MEMBER,ACTIVE,2025-05-09T09:41:26.420598,2025-05-09T09:41:26.420601
9,8,MEMBER,ACTIVE,2025-05-09T09:41:26.420606,2025-05-09T09:41:26.420610
7,3,MEMBER,ACTIVE,2025-05-09T09:41:26.420615,2025-05-09T09:41:26.420618
2,10,MEMBER,ACTIVE,2025-05-09T09:41:26.420623,2025-05-09T09:41:26.420626
3,6,MEMBER,ACTIVE,2025-05-09T09:41:26.420631,2025-05-09T09:41:26.420634
7,2,MEMBER,ACTIVE,2025-05-09T09:41:26.420639,2025-05-09T09:41:26.420642
