workspace_id,user_id,board_id,role,created_at,updated_at
2,3,6,MEMBER,2025-05-09T09:41:26.420189,2025-05-09T09:41:26.420194
2,6,8,MEMBER,2025-05-09T09:41:26.420200,2025-05-09T09:41:26.420204
3,3,4,MEMBER,2025-05-09T09:41:26.420210,2025-05-09T09:41:26.420213
5,1,3,MEMBER,2025-05-09T09:41:26.420220,2025-05-09T09:41:26.420223
2,9,1,MEMBER,2025-05-09T09:41:26.420229,2025-05-09T09:41:26.420233
3,7,10,MEMBER,2025-05-09T09:41:26.420237,2025-05-09T09:41:26.420239
2,2,1,MEMBER,2025-05-09T09:41:26.420243,2025-05-09T09:41:26.420244
3,3,9,MEMBER,2025-05-09T09:41:26.420250,2025-05-09T09:41:26.420252
5,7,3,MEMBER,2025-05-09T09:41:26.420256,2025-05-09T09:41:26.420258
1,5,1,MEMBER,2025-05-09T09:41:26.420261,2025-05-09T09:41:26.420263
1,9,3,MEMBER,2025-05-09T09:41:26.420267,2025-05-09T09:41:26.420268
2,5,3,MEMBER,2025-05-09T09:41:26.420272,2025-05-09T09:41:26.420274
1,1,3,MEMBER,2025-05-09T09:41:26.420277,2025-05-09T09:41:26.420279
4,9,7,MEMBER,2025-05-09T09:41:26.420282,2025-05-09T09:41:26.420284
1,2,2,MEMBER,2025-05-09T09:41:26.420287,2025-05-09T09:41:26.420289
